date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 10:34:59,_AxellSilvestri,,1,0,1,"COVID-19 #coronavirus ayuda a las personas a darse cuenta de que la higiene siempre es importante y no anden sucios en el bondi especialmente en argentina",,,#coronavirus,1238050852075646981,https://twitter.com/_AxellSilvestri/status/1238050852075646981
2020-03-12 10:33:39,FloorParenti,,2,2,19,"Declarada oficialmente la pandemia de COVID-19 y Argentina sigue sin tomar medidas para evitar aglomeraciones. Sálvese quien pueda en este país de inoperantes.",,,,1238050516506206208,https://twitter.com/FloorParenti/status/1238050516506206208
2020-03-12 09:35:43,OPINIONLATINA,,0,5,3,"#CoronavirusArgentina #coronavirus #Covid_19 Aprende a diferenciar los síntomas. ",,,#CoronavirusArgentina #coronavirus #Covid_19,1238035937910816768,https://twitter.com/OPINIONLATINA/status/1238035937910816768
2020-03-12 09:09:19,OlbapMaiden,,0,0,1,"@Mega983 @soyjuandinatale @alejandrahiga @valedelgadoOK @IgnacioFusco buen dia !!! Húmeda mañana llendo al trabajo (Sanatorio) enfrentando el dia a dia con el COVID-19. Recordar la importancia de lavarse las manos !!!!",,@Mega983 @soyjuandinatale @alejandrahiga @valedelgadoOK @IgnacioFusco,,1238029291692097537,https://twitter.com/OlbapMaiden/status/1238029291692097537
2020-03-12 04:03:23,Late931Oficial,,0,0,1,"""Juventus confirma que Rugani dio positivo por COVID-19"" ",,,,1237952301140250624,https://twitter.com/Late931Oficial/status/1237952301140250624
2020-03-12 03:31:58,cristianbaelish,,2,0,5,"Al coronavirus lo voy a combatir insultandolo, humillandolo. Quiero rivalizar con vos COVID-19",,,,1237944393962786816,https://twitter.com/cristianbaelish/status/1237944393962786816
2020-03-12 02:53:32,MabyMaidana,,0,0,1,"Con la cuarentena covid-19 se viene el Baby Boom. ",,,,1237934722271100928,https://twitter.com/MabyMaidana/status/1237934722271100928
2020-03-12 02:46:47,Karrerovich,Kiwita,0,0,2,"Si tenés mocos, no llegás a covid19",,,,1237933026371395584,https://twitter.com/Karrerovich/status/1237933026371395584
2020-03-12 02:26:31,PolideportivoFC,,0,1,1,"¡Se suspende la temporada de NBA por Coronavirus! ¡La NBA publicó este comunicado informando que la temporada esta suspendida a partir de mañana! ¡Rudy Gobert, jugador de Utah Jazz, dio positivo en el estudio de COVID-19 y la comisión de la liga tomó esa decisión! ",,,,1237927925716058112,https://twitter.com/PolideportivoFC/status/1237927925716058112
2020-03-12 02:12:31,joacovacademia,DiarioOle,0,0,2,"El de blanco es el covid19 y el de verde y amirillo es tu comitente ",,,,1237924402609741825,https://twitter.com/joacovacademia/status/1237924402609741825
2020-03-12 02:10:35,mvarelauy,,0,0,0,"De los mejores informes que leí #Covid_19 ",,,#Covid_19,1237923913063108608,https://twitter.com/mvarelauy/status/1237923913063108608
2020-03-12 01:54:38,Lucasseoane1,santidepresivos,0,0,1,"Bueno yo tengo un conducto ocultar tapado y fui igualmente al gimnasio. La gente me miraba fijo tratando de decodificar si tenía covid-19 . El nivel de pelotudez que flota hoy por hoy en el ambiente es altísimo – at Patio Gastronómico (Feria de las Colectividades)",,,,1237919901253357568,https://twitter.com/Lucasseoane1/status/1237919901253357568
2020-03-12 01:42:09,luisao82,,0,2,1,"Coronavirus: Tom Hanks y Rita Wilson dieron positivo. Increíble... #Covid19 ",,,#Covid19,1237916760520773632,https://twitter.com/luisao82/status/1237916760520773632
2020-03-12 01:34:13,victoriasnajda,,1,5,48,"Comunicado sobre el Museo River Siguiendo las recomendaciones de la Organización Mundial de la Salud y del Ministerio de Salud de la Nación Argentina, ante el brote de COVID-19, el Museo River cerrará sus puertas a partir de este jueves 12 de marzo y hasta nuevo aviso.",,,,1237914761104445440,https://twitter.com/victoriasnajda/status/1237914761104445440
2020-03-12 01:25:25,octaviobence,,0,2,3,"Mientras tanto en la Argentina de Alberto & Co; la inoperancia del tan aclamado Ministeri es la gran noticia referida al tema. #COVID19 https://twitter.com/realDonaldTrump/status/1237820230296010752",,,#COVID19,1237912548680351747,https://twitter.com/octaviobence/status/1237912548680351747
2020-03-12 01:17:17,josebritto1,,0,1,2,"mportante!!! Tenga el cuenta el historial de viaje y la fiebre. No toda tos y malestar general es sinónimo de COVID-19. No colapsemos los sistemas de salud!!! ",,,,1237910500610015232,https://twitter.com/josebritto1/status/1237910500610015232
2020-03-12 01:15:33,jjosiasez,,0,0,2,"""vuelos más baratos por el covid19"" ni en pedo jaja me cago muriendo además no tengo un sope",,,,1237910064452833280,https://twitter.com/jjosiasez/status/1237910064452833280
